Counter type,First kana\Number reading,1,2,3,4,5,6,7,8,9,10
A1,,,,,,,,,,,
A2,,,,,よ,,,,,,
A3,,,,,し,,,しち,,く,
A4,わ,,,さんば,,,,,,,
B1,は,いっぱ,,さんば,,,ろっぱ,,はっぱ;はちは,,じゅっぱ
B1,ひ,いっぴ,,さんび,,,ろっぴ,,はっぴ;はちひ,,じゅっぴ
B1,ふ,いっぷ,,さんぶ,,,ろっぷ,,はっぷ;はちふ,,じゅっぷ
B1,へ,いっぺ,,さんべ,,,ろっぺ,,はっぺ;はちへ,,じゅっぺ
B1,ほ,いっぽ,,さんぼ,,,ろっぽ,,はっぽ;はちほ,,じゅっぽ
B2,は,いっぱ,,さんぱ,,,ろっぱ,,はっぱ;はちは,,じゅっぱ
B2,ひ,いっぴ,,さんぴ,,,ろっぴ,,はっぴ;はちひ,,じゅっぴ
B2,ふ,いっぷ,,さんぷ,,,ろっぷ,,はっぷ;はちふ,,じゅっぷ
B2,へ,いっぺ,,さんぺ,,,ろっぺ,,はっぺ;はちへ,,じゅっぺ
B2,ほ,いっぽ,,さんぽ,,,ろっぽ,,はっぽ;はちほ,,じゅっぽ
C1,か,いっか,,,,,ろっか,,はっか;はちか,,じゅっか
C1,き,いっき,,,,,ろっき,,はっき;はちき,,じゅっき
C1,く,いっく,,,,,ろっく,,はっく;はちく,,じゅっく
C1,け,いっけ,,,,,ろっけ,,はっけ;はちけ,,じゅっけ
C1,こ,いっこ,,,,,ろっこ,,はっこ;はちこ,,じゅっこ
C2,か,いっか,,さんか;さんが,,,ろっか,,はっか;はちか,,じゅっか
C2,き,いっき,,さんき;さんぎ,,,ろっき,,はっき;はちき,,じゅっき
C2,く,いっく,,さんく;さんぐ,,,ろっく,,はっく;はちく,,じゅっく
C2,け,いっけ,,さんけ;さんげ,,,ろっけ,,はっけ;はちけ,,じゅっけ
C2,こ,いっこ,,さんこ;さんご,,,ろっこ,,はっこ;はちこ,,じゅっこ
D1,さ,いっさ,,,,,,,はっさ,,じゅっさ
D1,し,いっし,,,,,,,はっし,,じゅっし
D1,す,いっす,,,,,,,はっす,,じゅっす
D1,せ,いっせ,,,,,,,はっせ,,じゅっせ
D1,そ,いっそ,,,,,,,はっそ,,じゅっそ
D2,さ,いっさ,,さんざ,,,,,はっさ,,じゅっさ
D2,し,いっし,,さんじ,,,,,はっし,,じゅっし
D2,す,いっす,,さんず,,,,,はっす,,じゅっす
D2,せ,いっせ,,さんぜ,,,,,はっせ,,じゅっせ
D2,そ,いっそ,,さんぞ,,,,,はっそ,,じゅっそ
E,ぱ,いっぱ,,,,,ろっぱ;ろくぱ,,はっぱ;はちぱ,,じゅっぱ
E,ぴ,いっぴ,,,,,ろっぴ;ろくぴ,,はっぴ;はちぴ,,じゅっぴ
E,ぷ,いっぷ,,,,,ろっぷ;ろくぷ,,はっぷ;はちぷ,,じゅっぷ
E,ぺ,いっぺ,,,,,ろっぺ;ろくぺ,,はっぺ;はちぺ,,じゅっぺ
E,ぽ,いっぽ,,,,,ろっぽ;ろくぽ,,はっぽ;はちぽ,,じゅっぽ
F,た,いった,,,,,,,はった,,じゅった
F,ち,いっち,,,,,,,はっち,,じゅっち
F,つ,いっつ,,,,,,,はっつ,,じゅっつ
F,て,いって,,,,,,,はって,,じゅって
F,と,いっと,,,,,,,はっと,,じゅっと
IRREGULAR,,,,,,,,,,,
